UNH_YTP.R1014.LI408.OL,DATETIME,Level
2075.309074,2017-09-01T02:00:00,2075.309074
2075.465332,2017-09-01T02:01:00,2075.465332
2076.070044,2017-09-01T02:02:00,2076.070044
2075.888574,2017-09-01T02:03:00,2075.888574
2076.190942,2017-09-01T02:04:00,2076.190942
2076.009521,2017-09-01T02:05:00,2076.009521
2075.586206,2017-09-01T02:06:00,2075.586206
2075.71735,2017-09-01T02:07:00,2075.71735
2076.019596,2017-09-01T02:08:00,2076.019596
2076.291618,2017-09-01T02:09:00,2076.291618
2075.707275,2017-09-01T02:10:00,2075.707275
2075.928923,2017-09-01T02:11:00,2075.928923
2076.311768,2017-09-01T02:12:00,2076.311768
2075.979207,2017-09-01T02:13:00,2075.979207
2075.737345,2017-09-01T02:14:00,2075.737345
2076.311768,2017-09-01T02:15:00,2076.311768
2076.422681,2017-09-01T02:16:00,2076.422681
2076.392521,2017-09-01T02:17:00,2076.392521
2076.009521,2017-09-01T02:18:00,2076.009521
2076.009521,2017-09-01T02:19:00,2076.009521
2075.686995,2017-09-01T02:20:00,2075.686995
2075.727311,2017-09-01T02:21:00,2075.727311
2076.493245,2017-09-01T02:22:00,2076.493245
2076.593978,2017-09-01T02:23:00,2076.593978
2075.828044,2017-09-01T02:24:00,2075.828044
2076.493311,2017-09-01T02:25:00,2076.493311
2075.616528,2017-09-01T02:26:00,2075.616528
2076.00957,2017-09-01T02:27:00,2076.00957
2076.299678,2017-09-01T02:28:00,2076.299678
2076.100195,2017-09-01T02:29:00,2076.100195
2076.15057,2017-09-01T02:30:00,2076.15057
2076.493245,2017-09-01T02:31:00,2076.493245
2076.271582,2017-09-01T02:32:00,2076.271582
2076.190999,2017-09-01T02:33:00,2076.190999
2076.45293,2017-09-01T02:34:00,2076.45293
2076.311768,2017-09-01T02:35:00,2076.311768
2076.311768,2017-09-01T02:36:00,2076.311768
2076.311768,2017-09-01T02:37:00,2076.311768
2076.311768,2017-09-01T02:38:00,2076.311768
2075.787874,2017-09-01T02:39:00,2075.787874
2075.707275,2017-09-01T02:40:00,2075.707275
2076.231169,2017-09-01T02:41:00,2076.231169
2075.888672,2017-09-01T02:42:00,2075.888672
2076.55376,2017-09-01T02:43:00,2076.55376
2075.58623,2017-09-01T02:44:00,2075.58623
2076.130469,2017-09-01T02:45:00,2076.130469
2076.432861,2017-09-01T02:46:00,2076.432861
2075.828174,2017-09-01T02:47:00,2075.828174
2076.855957,2017-09-01T02:48:00,2076.855957
2075.989372,2017-09-01T02:49:00,2075.989372
2076.190999,2017-09-01T02:50:00,2076.190999
2076.45293,2017-09-01T02:51:00,2076.45293
2075.731299,2017-09-01T02:52:00,2075.731299
2076.372266,2017-09-01T02:53:00,2076.372266
2075.999447,2017-09-01T02:54:00,2075.999447
2075.707275,2017-09-01T02:55:00,2075.707275
2075.918848,2017-09-01T02:56:00,2075.918848
2075.974259,2017-09-01T02:57:00,2075.974259
2076.276506,2017-09-01T02:58:00,2076.276506
2076.578967,2017-09-01T02:59:00,2076.578967
2076.024634,2017-09-01T03:00:00,2076.024634
2076.311768,2017-09-01T03:01:00,2076.311768
2075.878548,2017-09-01T03:02:00,2075.878548
2076.311768,2017-09-01T03:03:00,2076.311768
2076.266418,2017-09-01T03:04:00,2076.266418
2075.495483,2017-09-01T03:05:00,2075.495483
2075.979297,2017-09-01T03:06:00,2075.979297
2076.039746,2017-09-01T03:07:00,2076.039746
2076.644373,2017-09-01T03:08:00,2076.644373
2075.91889,2017-09-01T03:09:00,2075.91889
2076.352136,2017-09-01T03:10:00,2076.352136
2076.009521,2017-09-01T03:11:00,2076.009521
2076.009521,2017-09-01T03:12:00,2076.009521
2075.601298,2017-09-01T03:13:00,2075.601298
2076.311768,2017-09-01T03:14:00,2076.311768
2076.115255,2017-09-01T03:15:00,2076.115255
2075.470325,2017-09-01T03:16:00,2075.470325
2076.362248,2017-09-01T03:17:00,2076.362248
2076.135527,2017-09-01T03:18:00,2076.135527
2075.967207,2017-09-01T03:19:00,2075.967207
2076.755212,2017-09-01T03:20:00,2076.755212
2076.125382,2017-09-01T03:21:00,2076.125382
2076.342017,2017-09-01T03:22:00,2076.342017
2076.946729,2017-09-01T03:23:00,2076.946729
2075.772762,2017-09-01T03:24:00,2075.772762
2076.075008,2017-09-01T03:25:00,2076.075008
2076.311768,2017-09-01T03:26:00,2076.311768
2076.855981,2017-09-01T03:27:00,2076.855981
2076.71991,2017-09-01T03:28:00,2076.71991
2075.812927,2017-09-01T03:29:00,2075.812927
2075.73739,2017-09-01T03:30:00,2075.73739
2076.009521,2017-09-01T03:31:00,2076.009521
2076.342126,2017-09-01T03:32:00,2076.342126
2076.614258,2017-09-01T03:33:00,2076.614258
2077.112964,2017-09-01T03:34:00,2077.112964
2076.342126,2017-09-01T03:35:00,2076.342126
2076.946729,2017-09-01T03:36:00,2076.946729
2076.420659,2017-09-01T03:37:00,2076.420659
2076.614258,2017-09-01T03:38:00,2076.614258
2076.634408,2017-09-01T03:39:00,2076.634408
2076.896354,2017-09-01T03:40:00,2076.896354
2076.594092,2017-09-01T03:41:00,2076.594092
2076.331934,2017-09-01T03:42:00,2076.331934
2076.654557,2017-09-01T03:43:00,2076.654557
2077.097819,2017-09-01T03:44:00,2077.097819
2076.311768,2017-09-01T03:45:00,2076.311768
2076.825724,2017-09-01T03:46:00,2076.825724
2076.493213,2017-09-01T03:47:00,2076.493213
2077.21875,2017-09-01T03:48:00,2077.21875
2077.21875,2017-09-01T03:49:00,2077.21875
2077.158285,2017-09-01T03:50:00,2077.158285
2076.432699,2017-09-01T03:51:00,2076.432699
2076.190967,2017-09-01T03:52:00,2076.190967
2076.674609,2017-09-01T03:53:00,2076.674609
2076.190869,2017-09-01T03:54:00,2076.190869
2076.251416,2017-09-01T03:55:00,2076.251416
2076.130469,2017-09-01T03:56:00,2076.130469
2076.170785,2017-09-01T03:57:00,2076.170785
2076.896354,2017-09-01T03:58:00,2076.896354
2076.594092,2017-09-01T03:59:00,2076.594092
2076.372233,2017-09-01T04:00:00,2076.372233
2077.178451,2017-09-01T04:01:00,2077.178451
2076.634408,2017-09-01T04:02:00,2076.634408
2076.916504,2017-09-01T04:03:00,2076.916504
2076.916504,2017-09-01T04:04:00,2076.916504
2076.916504,2017-09-01T04:05:00,2076.916504
2076.674609,2017-09-01T04:06:00,2076.674609
2076.553662,2017-09-01T04:07:00,2076.553662
2077.037402,2017-09-01T04:08:00,2077.037402
2077.097852,2017-09-01T04:09:00,2077.097852
2077.039451,2017-09-01T04:10:00,2077.039451
2077.21875,2017-09-01T04:11:00,2077.21875
2076.588969,2017-09-01T04:12:00,2076.588969
2075.833211,2017-09-01T04:13:00,2075.833211
2075.883586,2017-09-01T04:14:00,2075.883586
2076.085185,2017-09-01T04:15:00,2076.085185
2076.614258,2017-09-01T04:16:00,2076.614258
2076.916504,2017-09-01T04:17:00,2076.916504
2076.840942,2017-09-01T04:18:00,2076.840942
2076.689819,2017-09-01T04:19:00,2076.689819
2076.803162,2017-09-01T04:20:00,2076.803162
2076.966878,2017-09-01T04:21:00,2076.966878
2076.86613,2017-09-01T04:22:00,2076.86613
2076.966878,2017-09-01T04:23:00,2076.966878
2076.86613,2017-09-01T04:24:00,2076.86613
2076.614258,2017-09-01T04:25:00,2076.614258
2076.966878,2017-09-01T04:26:00,2076.966878
2076.538635,2017-09-01T04:27:00,2076.538635
2076.462952,2017-09-01T04:28:00,2076.462952
2076.689728,2017-09-01T04:29:00,2076.689728
2076.311768,2017-09-01T04:30:00,2076.311768
2076.311768,2017-09-01T04:31:00,2076.311768
2076.840841,2017-09-01T04:32:00,2076.840841
2077.04244,2017-09-01T04:33:00,2077.04244
2076.916504,2017-09-01T04:34:00,2076.916504
2077.017212,2017-09-01T04:35:00,2077.017212
2077.193563,2017-09-01T04:36:00,2077.193563
2076.966899,2017-09-01T04:37:00,2076.966899
2077.470846,2017-09-01T04:38:00,2077.470846
2076.916504,2017-09-01T04:39:00,2076.916504
2076.916504,2017-09-01T04:40:00,2076.916504
2076.941691,2017-09-01T04:41:00,2076.941691
2077.193563,2017-09-01T04:42:00,2077.193563
2076.941691,2017-09-01T04:43:00,2076.941691
2077.193563,2017-09-01T04:44:00,2077.193563
2076.916504,2017-09-01T04:45:00,2076.916504
2076.916504,2017-09-01T04:46:00,2076.916504
2076.916504,2017-09-01T04:47:00,2076.916504
2076.946729,2017-09-01T04:48:00,2076.946729
2077.188525,2017-09-01T04:49:00,2077.188525
2076.946729,2017-09-01T04:50:00,2076.946729
2077.158301,2017-09-01T04:51:00,2077.158301
2076.674707,2017-09-01T04:52:00,2076.674707
2077.21875,2017-09-01T04:53:00,2077.21875
2077.158301,2017-09-01T04:54:00,2077.158301
2076.614258,2017-09-01T04:55:00,2076.614258
2076.614258,2017-09-01T04:56:00,2076.614258
2076.659595,2017-09-01T04:57:00,2076.659595
2075.99751,2017-09-01T04:58:00,2075.99751
2076.352205,2017-09-01T04:59:00,2076.352205
2076.481152,2017-09-01T05:00:00,2076.481152
2076.916504,2017-09-01T05:01:00,2076.916504
2076.916504,2017-09-01T05:02:00,2076.916504
2076.735156,2017-09-01T05:03:00,2076.735156
2076.795605,2017-09-01T05:04:00,2076.795605
2076.553662,2017-09-01T05:05:00,2076.553662
2076.493262,2017-09-01T05:06:00,2076.493262
2076.795605,2017-09-01T05:07:00,2076.795605
2077.097852,2017-09-01T05:08:00,2077.097852
2077.21875,2017-09-01T05:09:00,2077.21875
2077.400244,2017-09-01T05:10:00,2077.400244
2077.21875,2017-09-01T05:11:00,2077.21875
2077.21875,2017-09-01T05:12:00,2077.21875
2077.097827,2017-09-01T05:13:00,2077.097827
2076.10022,2017-09-01T05:14:00,2076.10022
2076.886279,2017-09-01T05:15:00,2076.886279
2076.541689,2017-09-01T05:16:00,2076.541689
2076.614209,2017-09-01T05:17:00,2076.614209
2077.158398,2017-09-01T05:18:00,2077.158398
2076.916504,2017-09-01T05:19:00,2076.916504
2076.553662,2017-09-01T05:20:00,2076.553662
2076.674609,2017-09-01T05:21:00,2076.674609
2077.097852,2017-09-01T05:22:00,2077.097852
2077.037402,2017-09-01T05:23:00,2077.037402
2077.097852,2017-09-01T05:24:00,2077.097852
2077.037402,2017-09-01T05:25:00,2077.037402
2076.735156,2017-09-01T05:26:00,2076.735156
2076.976953,2017-09-01T05:27:00,2076.976953
2077.037402,2017-09-01T05:28:00,2077.037402
2076.916504,2017-09-01T05:29:00,2076.916504
2076.481094,2017-09-01T05:30:00,2076.481094
2077.007121,2017-09-01T05:31:00,2077.007121
2076.662617,2017-09-01T05:32:00,2076.662617
2077.178451,2017-09-01T05:33:00,2077.178451
2076.936654,2017-09-01T05:34:00,2076.936654
2077.097827,2017-09-01T05:35:00,2077.097827
2076.039746,2017-09-01T05:36:00,2076.039746
2076.342017,2017-09-01T05:37:00,2076.342017
2076.551674,2017-09-01T05:38:00,2076.551674
2076.498303,2017-09-01T05:39:00,2076.498303
2076.427722,2017-09-01T05:40:00,2076.427722
2076.498303,2017-09-01T05:41:00,2076.498303
2076.800643,2017-09-01T05:42:00,2076.800643
2076.916504,2017-09-01T05:43:00,2076.916504
2076.730119,2017-09-01T05:44:00,2076.730119
2076.614258,2017-09-01T05:45:00,2076.614258
2076.800643,2017-09-01T05:46:00,2076.800643
2076.730119,2017-09-01T05:47:00,2076.730119
2076.987028,2017-09-01T05:48:00,2076.987028
2076.939172,2017-09-01T05:49:00,2076.939172
2076.178813,2017-09-01T05:50:00,2076.178813
2077.090295,2017-09-01T05:51:00,2077.090295
2076.543583,2017-09-01T05:52:00,2076.543583
2076.125382,2017-09-01T05:53:00,2076.125382
2076.755212,2017-09-01T05:54:00,2076.755212
2076.251465,2017-09-01T05:55:00,2076.251465
2076.009521,2017-09-01T05:56:00,2076.009521
2076.095158,2017-09-01T05:57:00,2076.095158
2076.48311,2017-09-01T05:58:00,2076.48311
2076.830868,2017-09-01T05:59:00,2076.830868
2076.699894,2017-09-01T06:00:00,2076.699894
2077.00214,2017-09-01T06:01:00,2077.00214
2077.133114,2017-09-01T06:02:00,2077.133114
2077.00214,2017-09-01T06:03:00,2077.00214
2077.047477,2017-09-01T06:04:00,2077.047477
2076.699894,2017-09-01T06:05:00,2076.699894
2077.00214,2017-09-01T06:06:00,2077.00214
2076.961772,2017-09-01T06:07:00,2076.961772
2076.311768,2017-09-01T06:08:00,2076.311768
2076.654451,2017-09-01T06:09:00,2076.654451
2076.442794,2017-09-01T06:10:00,2076.442794
2076.548718,2017-09-01T06:11:00,2076.548718
2076.140548,2017-09-01T06:12:00,2076.140548
2077.146196,2017-09-01T06:13:00,2077.146196
2076.644482,2017-09-01T06:14:00,2076.644482
2076.039758,2017-09-01T06:15:00,2076.039758
2077.158289,2017-09-01T06:16:00,2077.158289
2077.21875,2017-09-01T06:17:00,2077.21875
2076.644482,2017-09-01T06:18:00,2076.644482
2076.901392,2017-09-01T06:19:00,2076.901392
2076.4026,2017-09-01T06:20:00,2076.4026
2076.862085,2017-09-01T06:21:00,2076.862085
2076.916504,2017-09-01T06:22:00,2076.916504
2077.00214,2017-09-01T06:23:00,2077.00214
2077.21875,2017-09-01T06:24:00,2077.21875
2076.810608,2017-09-01T06:25:00,2076.810608
2075.767725,2017-09-01T06:26:00,2075.767725
2076.614258,2017-09-01T06:27:00,2076.614258
2076.357245,2017-09-01T06:28:00,2076.357245
2076.961841,2017-09-01T06:29:00,2076.961841
2077.183488,2017-09-01T06:30:00,2077.183488
