,DATETIME,Level
5048.584701,2017-09-01T02:00:00,5048.584701
5053.263818,2017-09-01T02:01:00,5053.263818
5061.819076,2017-09-01T02:02:00,5061.819076
5070.296484,2017-09-01T02:03:00,5070.296484
5076.874479,2017-09-01T02:04:00,5076.874479
5080.926953,2017-09-01T02:05:00,5080.926953
5087.02334,2017-09-01T02:06:00,5087.02334
5094.024219,2017-09-01T02:07:00,5094.024219
5096.314648,2017-09-01T02:08:00,5096.314648
5097.234814,2017-09-01T02:09:00,5097.234814
5101.22915,2017-09-01T02:10:00,5101.22915
5102.501383,2017-09-01T02:11:00,5102.501383
5105.359668,2017-09-01T02:12:00,5105.359668
5107.904883,2017-09-01T02:13:00,5107.904883
5112.427214,2017-09-01T02:14:00,5112.427214
5114.012923,2017-09-01T02:15:00,5114.012923
5116.459961,2017-09-01T02:16:00,5116.459961
5118.104492,2017-09-01T02:17:00,5118.104492
5118.915234,2017-09-01T02:18:00,5118.915234
5121.760693,2017-09-01T02:19:00,5121.760693
5123.637129,2017-09-01T02:20:00,5123.637129
5124.341953,2017-09-01T02:21:00,5124.341953
5128.171484,2017-09-01T02:22:00,5128.171484
5131.153483,2017-09-01T02:23:00,5131.153483
5134.37417,2017-09-01T02:24:00,5134.37417
5136.635254,2017-09-01T02:25:00,5136.635254
5140.208203,2017-09-01T02:26:00,5140.208203
5141.61002,2017-09-01T02:27:00,5141.61002
5146.50834,2017-09-01T02:28:00,5146.50834
5148.254655,2017-09-01T02:29:00,5148.254655
5150.907031,2017-09-01T02:30:00,5150.907031
5152.776888,2017-09-01T02:31:00,5152.776888
5155.106445,2017-09-01T02:32:00,5155.106445
5158.718555,2017-09-01T02:33:00,5158.718555
5158.924316,2017-09-01T02:34:00,5158.924316
5161.391178,2017-09-01T02:35:00,5161.391178
5163.564453,2017-09-01T02:36:00,5163.564453
5165.032617,2017-09-01T02:37:00,5165.032617
5167.088411,2017-09-01T02:38:00,5167.088411
5170.152051,2017-09-01T02:39:00,5170.152051
5171.962891,2017-09-01T02:40:00,5171.962891
