2018-10-01 13:20:31 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data [{"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"},{"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}]
2018-10-01 13:30:45 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"}
2018-10-01 13:30:45 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}
2018-10-01 13:31:48 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"}
2018-10-01 13:31:48 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}
2018-10-01 13:31:48 [main] INFO  c.s.lab.test.ConfYamlWriterTest:36 - test data {tagSources=[TagSource{tagName='HELLO_WORLD_TAG_2', calculatedTagName='CALCULATED_TAG_2', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv'}, TagSource{tagName='HELLO_WORLD_TAG', calculatedTagName='CALCULATED_TAG', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv'}]}
2018-10-01 16:07:31 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"}
2018-10-01 16:07:31 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}
2018-10-01 16:07:31 [main] INFO  c.s.lab.test.ConfYamlWriterTest:38 - test data {tagSources=[TagSource{tagName='HELLO_WORLD_TAG_2', calculatedTagName='CALCULATED_TAG_2', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv'}, TagSource{tagName='HELLO_WORLD_TAG', calculatedTagName='CALCULATED_TAG', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv'}]}
2018-10-01 16:15:15 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"}
2018-10-01 16:15:15 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}
2018-10-01 16:15:15 [main] INFO  c.s.lab.test.ConfYamlWriterTest:38 - test data {tagSources=[TagSource{tagName='HELLO_WORLD_TAG_2', calculatedTagName='CALCULATED_TAG_2', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv'}, TagSource{tagName='HELLO_WORLD_TAG', calculatedTagName='CALCULATED_TAG', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv'}]}
2018-10-01 16:16:06 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG_2","calculatedTagName":"CALCULATED_TAG_2","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv"}
2018-10-01 16:16:06 [main] INFO  c.s.lab.scpdr.ingest.conf.TagSource:49 - source data {"tagName":"HELLO_WORLD_TAG","calculatedTagName":"CALCULATED_TAG","filePath":"/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv"}
2018-10-01 16:16:06 [main] INFO  c.s.lab.test.ConfYamlWriterTest:38 - test data {tagSources=[TagSource{tagName='HELLO_WORLD_TAG_2', calculatedTagName='CALCULATED_TAG_2', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank25_0th_270415_15-14.csv'}, TagSource{tagName='HELLO_WORLD_TAG', calculatedTagName='CALCULATED_TAG', filePath='/Users/sergeykim/dev/labs/threadstoptester/tank27_300th_041217_11-58.csv'}]}
2018-10-01 16:16:42 [main] INFO  c.s.lab.scpdr.ingest.EdgeEmulator:50 - Starting EdgeEmulator v1.0-test on 1403111-C02W56CHHTD5 with PID 7417 (/Users/sergeykim/dev/labs/threadstoptester/target/edge-emulator-1.0-test.jar started by sergeykim in /Users/sergeykim/dev/labs/threadstoptester)
2018-10-01 16:16:42 [main] INFO  c.s.lab.scpdr.ingest.EdgeEmulator:652 - No active profile set, falling back to default profiles: default
2018-10-01 16:16:42 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext:589 - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@8807e25: startup date [Mon Oct 01 16:16:42 MSK 2018]; root of context hierarchy
2018-10-01 16:16:43 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-10-01 16:16:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:91 - Tomcat initialized with port(s): 8080 (http)
2018-10-01 16:16:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol:180 - Initializing ProtocolHandler ["http-nio-8080"]
2018-10-01 16:16:44 [main] INFO  o.a.catalina.core.StandardService:180 - Starting service [Tomcat]
2018-10-01 16:16:44 [main] INFO  o.a.catalina.core.StandardEngine:180 - Starting Servlet Engine: Apache Tomcat/8.5.28
2018-10-01 16:16:44 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener:180 - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/sergeykim/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-10-01 16:16:44 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:180 - Initializing Spring embedded WebApplicationContext
2018-10-01 16:16:44 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader:285 - Root WebApplicationContext: initialization completed in 1544 ms
